841.373696,00000170,8,82,00,00,00,00,00,00,00,R
841.373920,00000309,8,09,9a,00,00,00,00,00,00,R
841.374140,0000017c,8,2a,4a,00,00,00,00,00,00,R
841.374350,0000014a,8,00,00,00,77,35,38,dc,ea,R
841.379775,00000309,8,09,9c,00,00,00,00,00,00,R
841.379988,00000170,8,d1,00,00,00,00,00,00,00,R
841.380200,0000014a,8,00,00,00,77,35,9a,12,d4,R
841.380418,0000017c,8,28,86,00,00,00,00,00,00,R
841.386081,00000170,8,e1,00,00,00,00,00,00,00,R
841.386317,0000014a,8,00,00,00,77,35,95,a8,c4,R
841.386562,0000017c,8,30,28,00,00,00,00,00,00,R
841.386777,00000309,8,09,95,00,00,00,00,00,00,R
841.391808,00000170,8,5f,00,00,00,00,00,00,00,R
841.392027,00000309,8,09,97,00,00,00,00,00,00,R
841.392239,0000014a,8,00,00,00,77,35,48,3f,20,R
841.392460,0000017c,8,2d,e6,00,00,00,00,00,00,R
841.397781,00000170,8,c6,00,00,00,00,00,00,00,R
841.398036,0000017c,8,34,f3,00,00,00,00,00,00,R
841.398261,0000014a,8,00,00,00,77,35,85,95,e8,R
841.398484,00000309,8,09,90,00,00,00,00,00,00,R
841.403844,00000170,8,af,00,00,00,00,00,00,00,R
841.404071,0000014a,8,00,00,00,77,35,99,a7,52,R
841.404283,00000309,8,09,93,00,00,00,00,00,00,R
841.404503,0000017c,8,32,17,00,00,00,00,00,00,R
841.409711,0000017c,8,38,73,00,00,00,00,00,00,R
841.409937,0000014a,8,00,00,00,77,35,28,75,72,R
841.410147,00000170,8,63,00,00,00,00,00,00,00,R
841.410359,00000309,8,09,8d,00,00,00,00,00,00,R
841.415703,0000014a,8,00,00,00,77,35,85,0e,4c,R
841.415928,0000017c,8,34,e8,00,00,00,00,00,00,R
841.416142,00000309,8,09,90,00,00,00,00,00,00,R
841.416351,00000170,8,38,00,00,00,00,00,00,00,R
841.421706,00000170,8,02,00,00,00,00,00,00,00,R
841.421964,0000017c,8,3a,84,00,00,00,00,00,00,R
841.422190,0000014a,8,00,00,00,77,35,7a,b7,a2,R
841.422417,00000309,8,09,8b,00,00,00,00,00,00,R
841.428135,00000170,8,6a,00,00,00,00,00,00,00,R
841.428370,00000309,8,09,8f,00,00,00,00,00,00,R
841.428604,0000017c,8,36,40,00,00,00,00,00,00,R
841.428847,0000014a,8,00,00,00,77,35,25,ce,4c,R
841.433709,00000309,8,09,8a,00,00,00,00,00,00,R
841.433923,00000170,8,f3,00,00,00,00,00,00,00,R
841.434143,0000017c,8,3b,18,00,00,00,00,00,00,R
841.434354,0000014a,8,00,00,00,77,35,67,a5,64,R
841.439950,00000170,8,64,00,00,00,00,00,00,00,R
841.440190,0000017c,8,36,1b,00,00,00,00,00,00,R
841.440494,0000014a,8,00,00,00,77,35,7f,9e,5e,R
841.440707,00000309,8,09,8f,00,00,00,00,00,00,R
841.446060,0000014a,8,00,00,00,77,35,0c,e9,28,R
841.446300,0000017c,8,3a,37,00,00,00,00,00,00,R
841.446511,00000170,8,b2,00,00,00,00,00,00,00,R
841.446723,00000309,8,09,8b,00,00,00,00,00,00,R
841.451702,00000309,8,09,91,00,00,00,00,00,00,R
841.451931,0000017c,8,34,8e,00,00,00,00,00,00,R
841.452145,00000170,8,77,00,00,00,00,00,00,00,R
841.452357,0000014a,8,00,00,00,77,35,78,09,34,R
841.457732,00000170,8,a8,00,00,00,00,00,00,00,R
841.457959,0000014a,8,00,00,00,77,35,03,ac,3a,R
841.458181,0000017c,8,38,03,00,00,00,00,00,00,R
841.458393,00000309,8,09,8d,00,00,00,00,00,00,R
841.464008,00000309,8,09,94,00,00,00,00,00,00,R
841.464227,0000014a,8,00,00,00,77,35,78,9c,56,R
841.464436,00000170,8,85,00,00,00,00,00,00,00,R
841.464656,0000017c,8,31,c8,00,00,00,00,00,00,R
841.469674,00000170,8,4b,00,00,00,00,00,00,00,R
841.469886,00000202,8,00,5d,00,00,00,00,00,00,R
841.470107,0000014a,8,00,00,00,77,35,7b,d8,54,R
841.470318,00000309,8,09,91,00,00,00,00,00,00,R
841.470536,0000017c,8,34,b6,00,00,00,00,00,00,R
841.476216,0000017c,8,2e,0d,00,00,00,00,00,00,R
841.476444,0000014a,8,00,00,00,77,35,34,91,0a,R
841.476694,00000309,8,09,97,00,00,00,00,00,00,R
841.476906,00000170,8,dc,00,00,00,00,00,00,00,R
841.481918,00000170,8,74,00,00,00,00,00,00,00,R
841.482148,0000017c,8,30,9a,00,00,00,00,00,00,R
841.482360,0000014a,8,00,00,00,77,35,8c,03,fa,R
841.482570,00000309,8,09,95,00,00,00,00,00,00,R
841.487867,0000017c,8,29,ac,00,00,00,00,00,00,R
841.488081,00000170,8,8d,00,00,00,00,00,00,00,R
841.488294,00000309,8,09,9c,00,00,00,00,00,00,R
841.488505,0000014a,8,00,00,00,77,35,bc,86,0e,R
841.493839,00000170,8,a9,00,00,00,00,00,00,00,R
841.494071,0000017c,8,2c,04,00,00,00,00,00,00,R
841.494283,00000309,8,09,99,00,00,00,00,00,00,R
841.494492,0000014a,8,00,00,00,77,35,5b,56,5c,R
841.499476,0000017c,8,24,fe,00,00,00,00,00,00,R
841.499690,0000014a,8,00,00,00,77,35,df,b2,6e,R
841.499899,00000309,8,09,a0,00,00,00,00,00,00,R
841.500108,00000170,8,c7,00,00,00,00,00,00,00,R
841.505807,0000014a,8,00,00,00,77,35,f6,2b,ae,R
841.506025,00000309,8,09,9e,00,00,00,00,00,00,R
841.506235,00000170,8,86,00,00,00,00,00,00,00,R
841.506458,0000017c,8,27,4b,00,00,00,00,00,00,R
841.511500,00000170,8,3a,00,00,00,00,00,00,00,R
841.511724,0000014a,8,00,00,00,77,35,bb,95,ba,R
841.511937,00000309,8,09,a5,00,00,00,00,00,00,R
841.512157,0000017c,8,20,59,00,00,00,00,00,00,R
841.517659,0000014a,8,00,00,00,77,36,26,95,10,R
841.517875,00000309,8,09,a2,00,00,00,00,00,00,R
841.518094,0000017c,8,22,c4,00,00,00,00,00,00,R
841.518303,00000170,8,a1,00,00,00,00,00,00,00,R
841.523942,00000170,8,eb,00,00,00,00,00,00,00,R
841.524166,0000014a,8,00,00,00,77,35,79,62,d2,R
841.524377,00000309,8,09,a9,00,00,00,00,00,00,R
841.524596,0000017c,8,1c,0b,00,00,00,00,00,00,R
841.530293,0000014a,8,00,00,00,77,35,c3,37,52,R
841.530515,0000017c,8,1e,b7,00,00,00,00,00,00,R
841.530726,00000309,8,09,a6,00,00,00,00,00,00,R
841.530934,00000170,8,b9,00,00,00,00,00,00,00,R
841.535945,0000017c,8,18,56,00,00,00,00,00,00,R
841.536158,00000309,8,09,ad,00,00,00,00,00,00,R
841.536368,0000014a,8,00,00,00,77,35,66,83,0e,R
841.536577,00000170,8,67,00,00,00,00,00,00,00,R
841.542116,0000017c,8,1b,5f,00,00,00,00,00,00,R
841.542347,00000309,8,09,a9,00,00,00,00,00,00,R
841.542575,0000014a,8,00,00,00,77,35,3a,b8,d0,R
841.542788,00000170,8,79,00,00,00,00,00,00,00,R
841.547800,00000309,8,09,af,00,00,00,00,00,00,R
841.548024,00000170,8,53,00,00,00,00,00,00,00,R
841.548254,0000017c,8,15,6c,00,00,00,00,00,00,R
841.548467,0000014a,8,00,00,00,77,35,af,c7,c2,R
841.553830,00000309,8,09,ac,00,00,00,00,00,00,R
841.554046,0000014a,8,00,00,00,77,35,30,b0,86,R
841.554264,0000017c,8,18,e5,00,00,00,00,00,00,R
841.554473,00000170,8,19,00,00,00,00,00,00,00,R
841.559917,0000014a,8,00,00,00,77,35,2b,64,3a,R
841.560133,00000309,8,09,b1,00,00,00,00,00,00,R
841.560343,00000170,8,8a,00,00,00,00,00,00,00,R
841.560563,0000017c,8,13,6b,00,00,00,00,00,00,R
841.565919,0000014a,8,00,00,00,77,35,78,94,7c,R
841.566134,00000309,8,09,ad,00,00,00,00,00,00,R
841.566343,00000170,8,45,00,00,00,00,00,00,00,R
841.566561,0000017c,8,17,5d,00,00,00,00,00,00,R
